 ,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
30 August 2023,ওয়ানডের বাংলাদেশকে এখন বিশ্বের সব দলই সমীহের চোখে দেখে—অধিনায়ক সাকিব আল হাসানের এই বক্তব্যের সঙ্গে কি আপনি একমত?,7986,51,47,2
29 August 2023,"আইনমন্ত্রী আনিসুল হক বলেছেন, প্রস্তাবিত সাইবার নিরাপত্তা আইন নিয়ে সংসদীয় স্থায়ী কমিটিতে অংশীজনদের ডেকে আলাপ-আলোচনা করা হবে। এর মাধ্যমে এই আইন নিয়ে উদ্বেগ দূর হবে বলে আপনি কি মনে করেন?",6980,5,94,1
28 August 2023,"জেলায় জেলায় বিশ্ববিদ্যালয় হওয়ার কথা উল্লেখ করে এএলআরডির নির্বাহী পরিচালক শামসুল হুদা বলেছেন, উচ্চশিক্ষা মুড়িমুড়কির মতো ছড়িয়ে দেওয়া হয়েছে। আপনি কি তাঁর এ বক্তব্য সমর্থন করেন?",6432,86,13,1
27 August 2023,জবাবদিহির ঘাটতির কারণে সরকারি প্রকল্প ঘিরে জমি কেনাবেচা ও বালু–বাণিজ্যের ঘটনা বারবার ঘটছে—টিআইবির নির্বাহী পরিচালক ইফতেখারুজ্জামানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,7177,99,1,0
26 August 2023,"বাণিজ্যসচিব তপন কান্তি ঘোষ বলেছেন, আমদানি করে প্রতি কেজি গরুর মাংস ৩৫০-৪০০ টাকায় বিক্রি সম্ভব—আপনিও কি তাই মনে করেন?",9459,86,12,2
25 August 2023,"অনলাইনে চাকরির আবেদনে মোবাইল অপারেটরদের কমিশনের ওপর ভ্যাট আরোপ করেছে সরকার, যাতে বেকারদের খরচ বাড়বে। আপনি কি তা সমর্থন করেন?",6683,10,89,1
24 August 2023,"ছয় বছরেও রোহিঙ্গাদের মিয়ানমারে ফেরানো যায়নি, এখন চীনের উদ্যোগে সংকটের সমাধান হবে বলে আপনি কি আশা করেন?",5960,10,89,1
23 August 2023,"জিনিসপত্রের দাম যেভাবে বেড়েছে, তাতে মধ্যবিত্তের জন্য বাজার করাটা কঠিন হয়ে গেছে—ঢাকার মিরপুর ৬ নম্বরের বাসিন্দা শরমিন সুলতানার এই বক্তব্যের সঙ্গে আপনি কি একমত?",9264,98,2,0
22 August 2023,"একজন কর দেবেন, আরেকজন দেবেন না, তা যেন না হয়—অর্থমন্ত্রী আ হ ম মুস্তফা কামালের এই নির্দেশনা রাজস্ব কর্মকর্তারা বাস্তবায়ন করতে পারবেন বলে আপনি কি মনে করেন?",6718,4,95,1
21 August 2023,এমটিএফই নামে একটি অ্যাপে বিনিয়োগ করে অর্থ খুইয়েছেন বহু মানুষ। এ ধরনের বিনিয়োগ ঠেকাতে সরকারের আরও নজরদারি দরকার বলে কি আপনি মনে করেন?,6765,92,7,1
20 August 2023,"মানুষ ধারণা করতে পারে জাতীয় নির্বাচন নিয়ে ইসির ওপর চাপ আছে, কিন্তু ইসির মাথায় কোনো চাপ নেই—নির্বাচন কমিশনার রাশেদা সুলতানার এ বক্তব্যের সঙ্গে আপনি একমত?",7265,11,88,1
19 August 2023,এক দিন বয়সী মুরগির বাচ্চা আমদানি নিষিদ্ধ করতে যাচ্ছে সরকার—এ সিদ্ধান্ত যৌক্তিক বলে মনে করেন কি?,5098,42,51,7
18 August 2023,"ঢাকার উন্নত এলাকার সড়ক সংস্কারে সিটি করপোরেশনের যতটা মনোযোগ থাকে, তার তুলনায় অনেক কম থাকে অনুন্নত এলাকায়—নগর-পরিকল্পনাবিদ আদিল মুহাম্মদ খানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",5825,98,2,0
17 August 2023,"আমার মনে হয় স্বাস্থ্য অধিদপ্তরের কর্তাব্যক্তিরা ডেঙ্গুতে মৃত্যুর বিষয়টিকে গুরুত্ব দিচ্ছেন না, গুরুত্ব দিলে এমন হতো না—বিএমএর মহাসচিব ইহতেশামুল হক চৌধুরীর এই বক্তব্যের সঙ্গে আপনি কি একমত?",5023,96,3,1
