Date,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
21 July 2023,নাগরিকদের তথ্য ফাঁস ঠেকাতে এখন দেশের সব সরকারি ওয়েবসাইটের নিরাপত্তাব্যবস্থা পর্যালোচনা করা উচিত—তথ্যপ্রযুক্তিবিষয়ক আইনের শিক্ষক মুহাম্মদ এরশাদুল করিমের এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,97,2,1
20 July 2023,"ডেঙ্গু নিয়ন্ত্রণে ঢাকার দুই সিটি করপোরেশন যে তৎপরতা চালাচ্ছে, তা যথেষ্ট বলে কি আপনি মনে করেন?",0,2,97,1
19 July 2023,জাতীয় নির্বাচনের কারণে শিক্ষাবর্ষের কার্যক্রম নভেম্বরের মধ্যে শেষ করতে শিক্ষাপ্রতিষ্ঠানে গ্রীষ্মকালীন ছুটি বাতিল করেছে সরকার। আপনি কি তা সমর্থন করেন?,0,33,66,1
18 July 2023,ঢাকা–১৭ আসনের উপনির্বাচনের স্বতন্ত্র প্রার্থী আশরাফুল হোসেন ওরফে হিরো আলমের ওপর হামলায় জড়িত ব্যক্তিদের বিচার হবে বলে কি আপনি মনে করেন?,0,6,93,1
17 July 2023,জাতীয় নির্বাচনের মাত্র কয়েক মাস আগে ঢাকা-১৭ আসনের উপনির্বাচন হওয়ায় এখানে ভোটার উপস্থিতি কম বলে মনে করছেন আওয়ামী লীগের প্রার্থী মোহাম্মদ আলী আরাফাত। আপনি কি তা মনে করেন?,0,10,89,1
16 July 2023,অচেনা দুটি দলকে নিবন্ধন দেওয়ার সিদ্ধান্তে নির্বাচন কমিশনের প্রতি জনগণের আস্থা কমবে—সুজন সম্পাদক বদিউল আলম মজুমদারের এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,92,7,1
15 July 2023,গরিব তাড়িয়ে বড়লোকদের আরও বড়লোক বানিয়েছে রাজউক—পরিকল্পনামন্ত্রীর এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,98,1,1
14 July 2023,কর্ণফুলী টানেল পার হতে গাড়িভেদে সর্বনিম্ন ২০০ টাকা টোল যৌক্তিক বলে মনে করেন কি?,0,46,51,3
13 July 2023,ডেঙ্গুকে বড় আকারের সমস্যা হিসেবে দেখা হচ্ছে না বলে এটা নিয়ন্ত্রণে আসছে না—স্বাস্থ্য অধিদপ্তরের রোগনিয়ন্ত্রণ শাখার সাবেক পরিচালক অধ্যাপক বে-নজীর আহমেদের এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,97,2,1
12 July 2023,"কাঁচা মরিচের অস্বাভাবিক দাম নিয়ে সমালোচনার মধ্যে বাণিজ্যমন্ত্রী টিপু মুনশি বলেছেন, ‘ঝড়-বৃষ্টিতে যদি কাঁচা মরিচ পচে যায়, তাহলে আমি কী করব?’ তাঁর এই বক্তব্য কি যৌক্তিক বলে আপনি মনে করেন?",0,7,91,2
11 July 2023,ভারতের সঙ্গে দ্বিপক্ষীয় বাণিজ্যে ডলারের পাশাপাশি রুপিতেও লেনদেন চালু হয়েছে—এটা ফলপ্রসূ হবে বলে আপনি কি মনে করেন?,0,34,62,4
10 July 2023,"বিদেশিরা যদি নির্বাচন পর্যবেক্ষণে না-ও আসেন, সেটি দেশের ক্ষতির কারণ হবে না –পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,13,86,1
9 July 2023,"ওয়েবসাইটের দুর্বলতার কারণে নাগরিকদের তথ্য ফাঁস হয়েছে, এখানে দায় এড়ানোর সুযোগ নেই—তথ্য ও যোগাযোগ প্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহমেদের এই বক্তব্যে আপনি কি সন্তুষ্ট?",0,69,30,1
8 July 2023,সিটি করপোরেশন ও সংশ্লিষ্ট সংস্থাগুলোর সমন্বয়হীনতা ও পূর্বপ্রস্তুতির ঘাটতির কারণে ডেঙ্গু পরিস্থিতি মারাত্মক রূপ নিয়েছে—টিআইবির এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,97,2,1
7 July 2023,"ঈদুল আজহার ছুটির পর স্কুল–কলেজ খোলার আগে খেলার মাঠ, ভবন পরিষ্কারসহ ডেঙ্গুর জীবাণুবাহী এডিস মশার প্রজননস্থল ধ্বংস করতে বলেছে মাধ্যমিক ও উচ্চশিক্ষা অধিদপ্তর। শিক্ষাপ্রতিষ্ঠানগুলো তা করবে বলে আপনি কি মনে করেন?",0,7,92,1
6 July 2023,আন্তর্জাতিক ক্রিকেট থেকে তামিম ইকবালের অবসরের ঘোষণা ঠিক হয়েছে বলে আপনি কি মনে করেন?,0,34,64,2
5 July 2023,"ডেঙ্গু নিয়ন্ত্রণে শুধু সিটি করপোরেশন নয়, সরকারকেই মূল উদ্যোগ নিতে হবে—আইইডিসিআরের উপদেষ্টা মুশতাক হোসেনের এ বক্তব্যের সঙ্গে আপনি কি একমত?",0,95,4,1
4 July 2023,এ দেশে এখনো যেকোনো উৎসব ও ছুটি পুরুষের জন্য উপভোগ্য হলেও নারীর জন্য কাজের বোঝা—বাংলাদেশ মহিলা পরিষদের সভাপতি ফওজিয়া মোসলেমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,38,61,1
3 July 2023,নির্বাচন এখন নির্বাচন কমিশনের হাত থেকে আইনশৃঙ্খলা রক্ষাকারী বাহিনীর নিয়ন্ত্রণে চলে গেছে।—সুশাসনের জন্য নাগরিক (সুজন) সম্পাদক বদিউল আলম মজুমদারের এই বক্তব্যের সঙ্গে কি আপনি একমত?,0,92,7,1
